sp;area
Amazona farinosa;94230
Amazona rhodocorytha;101038
Amazona vinacea;10528
Arremon semitorquatus;15722
Arremon taciturnus;117891
Baillonius bailloni;17465
Cacicus cela;113466
Carpornis cucullata;49774
Caryothraustes canadensis;115547
Chiroxiphia caudata;38086
Chiroxiphia pareola;114988
Chlorophanes spiza;102449
Columba speciosa;117891
Cotinga maculata;90022
Crax blumenbachii;89572
Crypturellus soui;109418
Crypturellus variegatus;108648
Cyanerpes cyaneus;117891
Elaenia mesoleuca;50131
Euphonia cyanocephala;104228
Euphonia pectoralis;58129
Euphonia xanthogaster;90179
Ilicura militaris;65939
Iodopleura pipra;18435
Laniisoma elegans;63268
Legatus leucophaius;115129
Lipaugus lanioides;67804
Lipaugus vociferans;100795
Machaeropterus regulus;70989
Manacus manacus;117750
Melanerpes flavifrons;75762
Mionectes oleagineus;109420
Mionectes rufiventris;34444
Neopelma aurifrons;87991
Odontophorus capueira;27587
Oxyruncus cristatus;108129
Pachyramphus marginatus;113030
Patagioenas plumbea;103231
Penelope obscura;95440
Penelope superciliaris;117891
Phibalura flavirostris;72018
Phyllomyias burmeisteri;47368
Pionopsitta pileata;23341
Pipra pipra;91255
Pipra rubrocapilla;111750
Pipraeidea melanonota;80827
Platycichla flavipes;117891
Procnias nudicollis;91423
Psarocolius decumanus;117891
Pteroglossus aracari;115989
Pyroderus scutatus;112359
Pyrrhura cruentata;115383
Ramphastos dicolorus;37998
Schiffornis turdina;117691
Schiffornis virescens;31669
Selenidera maculirostris;65975
Stephanophorus diadematus;19428
Tachyphonus cristatus;116669
Tangara cyanocephala;62568
Tangara cyanoventris;31800
Tangara desmaresti;45628
Tangara seledon;90976
Thraupis cyanoptera;31880
Tinamus solitarius;55880
Touit melanonotus;41309
Trogon viridis;114743
Turdus fumigatus;100017
Xipholena atropurpurea;58021
